E keV,hK Sv/Gy
7,1.73991E-06
8,9.34543E-05
9,0.001353464
10,0.008447752
11,0.028324061
12,0.065241091
13,0.118447442
14,0.183672401
15,0.255448519
16,0.329989616
17,0.40399968
18,0.475567998
19,0.542777809
20,0.607534766
22,0.730513951
24,0.833238277
26,0.928930932
28,1.018654782
30,1.099725943
32,1.175181751
34,1.248119288
36,1.313039708
38,1.37650556
40,1.433480252
42,1.489297858
44,1.534713606
46,1.58132768
48,1.614686459
50,1.650084504
52,1.681899565
54,1.702436465
56,1.72430124
58,1.739990167
60,1.751435622
65,1.762091421
70,1.767806639
75,1.756407357
80,1.742217425
85,1.721983239
90,1.702471381
95,1.682638125
100,1.662252001
110,1.618051083
120,1.582763037
130,1.549938887
140,1.520977356
150,1.493169726
160,1.471607864
170,1.449198903
180,1.431404326
190,1.414742534
200,1.399316527
225,1.366714569
250,1.340022488
275,1.31887995
300,1.2990968
325,1.282791193
350,1.268663301
375,1.256555722
400,1.245776553
425,1.235354283
450,1.225974906
500,1.210309979
550,1.198852502
600,1.188831811
662,1.179078141
700,1.173590825
800,1.161028923
900,1.150800294
1000,1.142936579
1250,1.129135737
