E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy,hK 180 Sv/Gy
3,0.009121187,0.009121187,0.009121187,0.009121187,0.009121187,0.009121187,0.009121187,0.009121187
4,0.127235094,0.127235094,0.127235094,0.127235094,0.127235094,0.127235094,0.127235094,0.127235094
5,0.344421138,0.344421138,0.344421138,0.344421138,0.344421138,0.344421138,0.344421138,0.344421138
6,0.536320655,0.536320655,0.536320655,0.536320655,0.536320655,0.536320655,0.536320655,0.536320655
7,0.671090022,0.671090022,0.671090022,0.671090022,0.671090022,0.671090022,0.671090022,0.671090022
8,0.760931234,0.760931234,0.760931234,0.760931234,0.760931234,0.760931234,0.760931234,0.760931234
9,0.820641497,0.820641497,0.820641497,0.820641497,0.820641497,0.820641497,0.820641497,0.820641497
10,0.861497734,0.861497734,0.861497734,0.861497734,0.861497734,0.861497734,0.861497734,0.861497734
11,0.890316202,0.890316202,0.890316202,0.890316202,0.890316202,0.890316202,0.890316202,0.890316202
12,0.912084266,0.912084266,0.912084266,0.912084266,0.912084266,0.912084266,0.912084266,0.912084266
13,0.929023235,0.929023235,0.929023235,0.929023235,0.929023235,0.929023235,0.929023235,0.929023235
14,0.9430002,0.9430002,0.9430002,0.9430002,0.9430002,0.9430002,0.9430002,0.9430002
15,0.955379763,0.955379763,0.955379763,0.955379763,0.955379763,0.955379763,0.955379763,0.955379763
16,0.966343554,0.966343554,0.966343554,0.966343554,0.966343554,0.966343554,0.966343554,0.966343554
17,0.978020867,0.978020867,0.978020867,0.978020867,0.978020867,0.978020867,0.978020867,0.978020867
18,0.985550329,0.985550329,0.985550329,0.985550329,0.985550329,0.985550329,0.985550329,0.985550329
19,0.996377548,0.996377548,0.996377548,0.996377548,0.996377548,0.996377548,0.996377548,0.996377548
20,1.008257466,1.008257466,1.008257466,1.008257466,1.008257466,1.008257466,1.008257466,1.008257466
22,1.03075673,1.03075673,1.03075673,1.03075673,1.03075673,1.03075673,1.03075673,1.03075673
24,1.052499672,1.052499672,1.052499672,1.052499672,1.052499672,1.052499672,1.052499672,1.052499672
26,1.078541316,1.078541316,1.078541316,1.078541316,1.078541316,1.078541316,1.078541316,1.078541316
28,1.104201674,1.104201674,1.104201674,1.104201674,1.104201674,1.104201674,1.104201674,1.104201674
30,1.131666567,1.131666567,1.131666567,1.131666567,1.131666567,1.131666567,1.131666567,1.131666567
32,1.158091729,1.158091729,1.158091729,1.158091729,1.158091729,1.158091729,1.158091729,1.158091729
34,1.185193355,1.185193355,1.185193355,1.185193355,1.185193355,1.185193355,1.185193355,1.185193355
36,1.211624687,1.211624687,1.211624687,1.211624687,1.211624687,1.211624687,1.211624687,1.211624687
38,1.239159772,1.239159772,1.239159772,1.239159772,1.239159772,1.239159772,1.239159772,1.239159772
40,1.265577322,1.265577322,1.265577322,1.265577322,1.265577322,1.265577322,1.265577322,1.265577322
42,1.29002639,1.29002639,1.29002639,1.29002639,1.29002639,1.29002639,1.29002639,1.29002639
44,1.313969255,1.313969255,1.313969255,1.313969255,1.313969255,1.313969255,1.313969255,1.313969255
46,1.337275424,1.337275424,1.337275424,1.337275424,1.337275424,1.337275424,1.337275424,1.337275424
48,1.356687402,1.356687402,1.356687402,1.356687402,1.356687402,1.356687402,1.356687402,1.356687402
50,1.376483791,1.376483791,1.376483791,1.376483791,1.376483791,1.376483791,1.376483791,1.376483791
52,1.39531665,1.39531665,1.39531665,1.39531665,1.39531665,1.39531665,1.39531665,1.39531665
