E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy,hK 180 Sv/Gy
6,5.83E-07,5.83E-07,5.83E-07,5.83E-07,5.83E-07,5.83E-07,5.83E-07,5.83E-07
7,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05
8,0.00020522,0.00020522,0.00020522,0.00020522,0.00020522,0.00020522,0.00020522,0.00020522
9,0.001672155,0.001672155,0.001672155,0.001672155,0.001672155,0.001672155,0.001672155,0.001672155
10,0.008368012,0.008368012,0.008368012,0.008368012,0.008368012,0.008368012,0.008368012,0.008368012
11,0.026352867,0.026352867,0.026352867,0.026352867,0.026352867,0.026352867,0.026352867,0.026352867
12,0.059736824,0.059736824,0.059736824,0.059736824,0.059736824,0.059736824,0.059736824,0.059736824
13,0.107794277,0.107794277,0.107794277,0.107794277,0.107794277,0.107794277,0.107794277,0.107794277
14,0.166603429,0.166603429,0.166603429,0.166603429,0.166603429,0.166603429,0.166603429,0.166603429
15,0.231785164,0.231785164,0.231785164,0.231785164,0.231785164,0.231785164,0.231785164,0.231785164
16,0.298700851,0.298700851,0.298700851,0.298700851,0.298700851,0.298700851,0.298700851,0.298700851
17,0.364806537,0.364806537,0.364806537,0.364806537,0.364806537,0.364806537,0.364806537,0.364806537
18,0.426850818,0.426850818,0.426850818,0.426850818,0.426850818,0.426850818,0.426850818,0.426850818
19,0.486156985,0.486156985,0.486156985,0.486156985,0.486156985,0.486156985,0.486156985,0.486156985
20,0.541698176,0.541698176,0.541698176,0.541698176,0.541698176,0.541698176,0.541698176,0.541698176
22,0.640006669,0.640006669,0.640006669,0.640006669,0.640006669,0.640006669,0.640006669,0.640006669
24,0.723137236,0.723137236,0.723137236,0.723137236,0.723137236,0.723137236,0.723137236,0.723137236
26,0.797056299,0.797056299,0.797056299,0.797056299,0.797056299,0.797056299,0.797056299,0.797056299
28,0.861394959,0.861394959,0.861394959,0.861394959,0.861394959,0.861394959,0.861394959,0.861394959
30,0.919956375,0.919956375,0.919956375,0.919956375,0.919956375,0.919956375,0.919956375,0.919956375
32,0.972347333,0.972347333,0.972347333,0.972347333,0.972347333,0.972347333,0.972347333,0.972347333
34,1.020790738,1.020790738,1.020790738,1.020790738,1.020790738,1.020790738,1.020790738,1.020790738
36,1.064994318,1.064994318,1.064994318,1.064994318,1.064994318,1.064994318,1.064994318,1.064994318
38,1.107240865,1.107240865,1.107240865,1.107240865,1.107240865,1.107240865,1.107240865,1.107240865
40,1.146074263,1.146074263,1.146074263,1.146074263,1.146074263,1.146074263,1.146074263,1.146074263
42,1.181352774,1.181352774,1.181352774,1.181352774,1.181352774,1.181352774,1.181352774,1.181352774
44,1.214164841,1.214164841,1.214164841,1.214164841,1.214164841,1.214164841,1.214164841,1.214164841
