E keV,hK 0 Sv/Gy
3,0.316711201
4,0.586320539
5,0.756890743
6,0.845441529
7,0.893560448
8,0.921575721
9,0.93897955
10,0.951207015
11,0.960576678
12,0.968872382
13,0.97727409
14,0.985347936
15,0.994262221
16,1.004185396
17,1.015493341
18,1.022780571
19,1.034079614
20,1.047408177
22,1.073790931
24,1.099557938
26,1.128886112
28,1.156608885
30,1.182667015
32,1.209935683
34,1.234056565
36,1.256700952
38,1.277756729
40,1.297267801
42,1.313289493
44,1.330626587
46,1.344302847
48,1.355668259
50,1.364903046
52,1.374177173
54,1.382030212
56,1.387068539
58,1.389343974
60,1.394141504
65,1.399038713
70,1.397260515
75,1.393950125
80,1.387166286
85,1.379858543
90,1.372331587
95,1.363407855
100,1.355254133
110,1.339631608
120,1.32499143
130,1.31221446
140,1.300515916
150,1.290494528
160,1.280290126
170,1.272244345
180,1.264577803
190,1.257600831
200,1.250624277
225,1.236639139
250,1.223379711
275,1.213855003
300,1.204325765
325,1.196480229
350,1.190584281
375,1.184168514
400,1.179697151
425,1.174787271
450,1.170351105
500,1.163102249
550,1.157317232
600,1.15328246
662,1.148848595
700,1.146014514
800,1.14016906
900,1.135390789
1000,1.13169012
1250,1.1249421
