E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy
3,0.303001463,0.303001463,0.260724546,0.260724546,0.090501243,0.008702016
4,0.574811284,0.574811284,0.539366225,0.539366225,0.343101471,0.126247413
5,0.748256307,0.748256307,0.724525037,0.724525037,0.573528453,0.343652087
6,0.839717391,0.839717391,0.824410816,0.824410816,0.720995203,0.535142508
7,0.889080519,0.889080519,0.878981329,0.878981329,0.809010273,0.670038784
8,0.918267623,0.918267623,0.911442347,0.911442347,0.862698108,0.760100336
9,0.935978832,0.935978832,0.931354018,0.931354018,0.896444897,0.820367281
10,0.948338392,0.948338392,0.945319726,0.945319726,0.919040156,0.861350524
11,0.958260751,0.958260751,0.955645214,0.955645214,0.935262254,0.890463025
12,0.96697007,0.96697007,0.965202946,0.965202946,0.948952711,0.911618238
13,0.975522332,0.975522332,0.974027243,0.974027243,0.959313934,0.928547847
14,0.984205331,0.984205331,0.982589767,0.982589767,0.969673299,0.942211405
15,0.993871138,0.993871138,0.992436382,0.992436382,0.979353648,0.954082726
16,1.004164099,1.004164099,1.002299499,1.002299499,0.988899859,0.964354412
17,1.015148226,1.015148226,1.014054677,1.014054677,1.000358806,0.975632894
18,1.025244847,1.025244847,1.022889587,1.022889587,1.007909804,0.982856635
19,1.037994486,1.037994486,1.034764185,1.034764185,1.01932199,0.992833298
20,1.053358259,1.053358259,1.049415896,1.049415896,1.033182788,1.004116649
22,1.083196733,1.083196733,1.080997965,1.080997965,1.058480923,1.025375864
24,1.115992797,1.115992797,1.110992362,1.110992362,1.083863625,1.044956611
26,1.151973267,1.151973267,1.149084567,1.149084567,1.114747784,1.067570709
28,1.191396999,1.191396999,1.186165966,1.186165966,1.146510117,1.089696311
30,1.235383935,1.235383935,1.226171015,1.226171015,1.181687388,1.112305982
32,1.276666066,1.276666066,1.267714529,1.267714529,1.211448512,1.136798036
34,1.319226663,1.319226663,1.310426266,1.310426266,1.247559805,1.162110643
36,1.36190039,1.36190039,1.350060135,1.350060135,1.279386091,1.187661122
38,1.405711493,1.405711493,1.393052075,1.393052075,1.313114946,1.215200867
40,1.449851475,1.449851475,1.434731531,1.434731531,1.350443589,1.241571321
42,1.488242791,1.488242791,1.471179319,1.471179319,1.37919108,1.26370837
44,1.525138636,1.525138636,1.508055347,1.508055347,1.408870106,1.288395358
46,1.559455073,1.559455073,1.546468999,1.546468999,1.437176367,1.313089103
48,1.593120408,1.593120408,1.574925101,1.574925101,1.462611802,1.332011204
50,1.619737628,1.619737628,1.603339072,1.603339072,1.488301822,1.353338812
52,1.649182058,1.649182058,1.629751362,1.629751362,1.509082346,1.37505192
54,1.668139198,1.668139198,1.649975065,1.649975065,1.528053401,1.390287717
56,1.689143024,1.689143024,1.66798737,1.66798737,1.544594773,1.405901228
58,1.700824499,1.700824499,1.681747407,1.681747407,1.558358322,1.417509584
60,1.714227085,1.714227085,1.695838789,1.695838789,1.571904912,1.431557301
65,1.733221298,1.733221298,1.712256197,1.712256197,1.595511177,1.454759722
70,1.738286612,1.738286612,1.724921147,1.724921147,1.608632725,1.474556209
75,1.738647748,1.738647748,1.719849885,1.719849885,1.611876431,1.482228433
80,1.732421673,1.732421673,1.715094081,1.715094081,1.610825957,1.487100636
85,1.718350956,1.718350956,1.701852228,1.701852228,1.606797964,1.489512454
90,1.702869085,1.702869085,1.686609391,1.686609391,1.597473112,1.490133057
95,1.683928053,1.683928053,1.669247581,1.669247581,1.58761774,1.48452198
100,1.664649438,1.664649438,1.654210871,1.654210871,1.577968738,1.482738821
110,1.630614677,1.630614677,1.622029661,1.622029661,1.56120728,1.472359102
120,1.60117606,1.60117606,1.590813837,1.590813837,1.541567775,1.463786896
130,1.571010737,1.571010737,1.567578857,1.567578857,1.523292221,1.454378051
140,1.54326413,1.54326413,1.539988241,1.539988241,1.50504871,1.446561989
150,1.522383687,1.522383687,1.521928328,1.521928328,1.491097232,1.436277085
160,1.502064769,1.502064769,1.499658826,1.499658826,1.482184223,1.429494597
170,1.481642949,1.481642949,1.482407867,1.482407867,1.466771945,1.42163628
180,1.467505225,1.467505225,1.46775488,1.46775488,1.454826711,1.414789242
190,1.45065503,1.45065503,1.452350473,1.452350473,1.445160655,1.409509881
200,1.43484464,1.43484464,1.437619441,1.437619441,1.436904777,1.403617061
225,1.404953402,1.404953402,1.406135252,1.406135252,1.414031805,1.390562738
250,1.381311243,1.381311243,1.380754183,1.380754183,1.395661814,1.379236546
275,1.357382533,1.357382533,1.363695002,1.363695002,1.381443355,1.369312214
300,1.338374695,1.338374695,1.344273126,1.344273126,1.363978301,1.360317909
325,1.32266732,1.32266732,1.329276501,1.329276501,1.351920367,1.354703445
350,1.307934237,1.307934237,1.315891798,1.315891798,1.341285824,1.344305019
375,1.294712714,1.294712714,1.301299131,1.301299131,1.331610442,1.338530118
400,1.283139109,1.283139109,1.290678597,1.290678597,1.322591097,1.331300925
425,1.274704118,1.274704118,1.282050536,1.282050536,1.313425897,1.326695614
450,1.263381011,1.263381011,1.269348081,1.269348081,1.306805803,1.321362308
500,1.249083874,1.249083874,1.255184514,1.255184514,1.291586331,1.311300973
550,1.236400811,1.236400811,1.243132276,1.243132276,1.279129471,1.30142319
600,1.225596531,1.225596531,1.233089752,1.233089752,1.272357882,1.292666257
662,1.215118566,1.215118566,1.222304402,1.222304402,1.261104686,1.286737879
700,1.209342753,1.209342753,1.214147888,1.214147888,1.255252321,1.281858642
800,1.194996117,1.194996117,1.200775107,1.200775107,1.241269665,1.269217324
900,1.183787111,1.183787111,1.189188631,1.189188631,1.228878637,1.25896135
1000,1.1750791,1.1750791,1.179603964,1.179603964,1.217687549,1.24917399
1250,1.159427714,1.159427714,1.163922482,1.163922482,1.198891089,1.232281656
