E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy
7,7.93E-07,6.04E-07,3.81E-07,5.34E-08,1.73E-08,2.12E-07
8,7.92E-05,5.43E-05,0.000021446,3.49395E-06,6.13E-07,6.10E-07
9,0.001346106,0.00106841,0.000499403,0.000102629,0.000012265,2.33E-06
10,0.0083191,0.007086827,0.00403456,0.001216778,0.000136502,1.60E-05
11,0.028177312,0.024818004,0.016239713,0.006596105,0.001031051,9.22E-05
12,0.065147269,0.059218758,0.042694638,0.020954563,0.004703718,0.000348684
13,0.118388978,0.109399634,0.084348215,0.048141105,0.01432725,0.001136312
14,0.18324045,0.172310602,0.139368879,0.088585483,0.032661363,0.003013857
15,0.255195778,0.242841418,0.203879386,0.140148154,0.061057845,0.007039441
16,0.329963773,0.316151968,0.2735286,0.199863049,0.099153716,0.014623937
17,0.40416343,0.39074449,0.344715891,0.264218601,0.145436079,0.026631136
18,0.475659329,0.461091622,0.41509434,0.329895384,0.195917207,0.043548592
19,0.544751433,0.53027042,0.4833811,0.395314768,0.251001791,0.065848119
20,0.610315862,0.596304495,0.549509793,0.460180673,0.307229379,0.092387038
22,0.731902218,0.716533382,0.672077748,0.582261333,0.418905332,0.154939008
24,0.838933447,0.824666433,0.781199342,0.692686224,0.524897067,0.226107831
26,0.939759742,0.926765632,0.883308418,0.794650849,0.624052448,0.298430831
28,1.033729037,1.018383105,0.978315001,0.889036614,0.715895309,0.369745795
30,1.12328574,1.110036511,1.066929864,0.978758992,0.800407475,0.438927329
32,1.205035644,1.192886856,1.14842796,1.060910878,0.878856453,0.502813619
34,1.284423123,1.27352119,1.229303299,1.137115505,0.95451743,0.565782517
36,1.362054763,1.346639975,1.303489703,1.212173549,1.0234329,0.623308051
38,1.433613663,1.41897569,1.376232359,1.281753902,1.086689086,0.6775502
40,1.502241122,1.488797106,1.441726556,1.342767001,1.146152525,0.726473121
42,1.563873147,1.551010126,1.501963702,1.402358007,1.201565972,0.773870192
44,1.623120954,1.610410314,1.560737218,1.457431147,1.252253223,0.817605659
46,1.677854696,1.662402833,1.612255157,1.511148421,1.298573873,0.85851371
48,1.725943821,1.710848227,1.659185464,1.553418803,1.341937723,0.892167736
50,1.76905304,1.753166543,1.70295233,1.592393568,1.377593603,0.92735815
52,1.804352705,1.7898652,1.739044714,1.628582845,1.412383248,0.957442964
54,1.835546199,1.822674741,1.769202601,1.658924531,1.437743672,0.983095946
56,1.861167396,1.84871254,1.797107866,1.684097346,1.463982166,1.008334645
58,1.882583227,1.869791886,1.818425368,1.705125089,1.483464012,1.028454711
60,1.898941701,1.88649959,1.833730938,1.723864193,1.5014267,1.049284574
65,1.926005555,1.914866682,1.862015909,1.751383567,1.532437628,1.082166399
70,1.935140307,1.920021635,1.863390378,1.766006906,1.550879354,1.104461831
75,1.925102576,1.911927239,1.863083155,1.762273546,1.556128648,1.118859317
80,1.909402917,1.900781161,1.85015669,1.748515071,1.554019015,1.126106531
85,1.890429252,1.880005955,1.834750499,1.737492258,1.549543801,1.13067058
90,1.86425661,1.855574002,1.81231862,1.719510821,1.536519533,1.130089543
95,1.837120391,1.827140842,1.792936556,1.700753457,1.520604024,1.12885722
100,1.813466674,1.804654663,1.769607911,1.684898472,1.512516977,1.125403749
110,1.763406991,1.753306076,1.724915014,1.650609414,1.488747473,1.118110106
120,1.718860294,1.710141254,1.683925869,1.616013553,1.464014981,1.110531835
130,1.677961489,1.67212334,1.646781811,1.585290293,1.442516535,1.10246658
140,1.647262105,1.641675992,1.616201521,1.557152219,1.424653788,1.096243256
150,1.610579254,1.608996303,1.584888006,1.532012863,1.40803909,1.091096117
160,1.581742467,1.58027494,1.560950457,1.510960274,1.393101416,1.087650073
170,1.556017971,1.554339575,1.535106736,1.495290263,1.381218814,1.08245873
180,1.531706607,1.532218672,1.514195239,1.47229798,1.367111222,1.081866377
190,1.512608872,1.512559351,1.497755297,1.458485413,1.357899767,1.079246048
200,1.493400407,1.493731033,1.48251305,1.443802953,1.346085665,1.075796046
225,1.456405651,1.453553162,1.44219897,1.412801375,1.329009458,1.072356345
250,1.421725181,1.420333435,1.412561343,1.386183632,1.311364744,1.068485573
275,1.394206678,1.392874349,1.38897374,1.367240071,1.296292039,1.068181694
300,1.369819231,1.370840086,1.367693442,1.348410771,1.283015359,1.068264138
325,1.349763312,1.350887822,1.346402907,1.332250697,1.270792378,1.067756026
350,1.333519305,1.333226124,1.329764384,1.319024059,1.264377898,1.067567237
375,1.31847029,1.317301416,1.31378797,1.307617464,1.256202402,1.06639924
400,1.30392476,1.303775934,1.302723481,1.294628323,1.247564866,1.065482114
425,1.290320389,1.290930968,1.292427562,1.285269865,1.240719366,1.066625317
450,1.279449923,1.280526467,1.278450208,1.274287544,1.234288993,1.067199218
500,1.261897577,1.261017144,1.263260123,1.259994248,1.224124259,1.065949579
550,1.24347485,1.244258051,1.246790028,1.243962491,1.213697016,1.066771341
600,1.229848074,1.232345857,1.23347623,1.233540433,1.206675433,1.067947607
662,1.217920816,1.219623717,1.221328742,1.221207467,1.198232656,1.071282442
700,1.20923104,1.211180642,1.213013537,1.215095964,1.192666989,1.069162656
800,1.192523157,1.195770431,1.197232671,1.198938747,1.182666889,1.070055166
900,1.180448365,1.182964931,1.185365895,1.186803642,1.172938225,1.07180815
1000,1.169888894,1.172405361,1.173661937,1.177412801,1.16666585,1.072027888
1250,1.151023256,1.15309163,1.155578576,1.159397496,1.151039999,1.072335366
