Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
12,47.329,1489.327534
12.2,47.145,1432.17571
12.4,58.143,1706.031787
12.6,60.879,1726.254611
12.8,60.733,1664.920632
13,62.444,1655.69757
13.2,62.387,1600.691412
13.4,62.669,1556.688082
13.6,68.354,1644.634527
13.8,69.177,1613.070198
14,67.044,1515.912477
14.2,73.536,1613.162055
14.4,73.86,1572.780508
14.6,74.884,1548.500309
14.8,82.95,1666.298744
15,78.658,1535.376382
15.2,89.447,1697.087758
15.4,87.844,1620.593881
15.6,87.41,1568.556555
15.8,94.627,1652.270016
16,92.441,1571.10071
16.2,97.575,1614.710561
16.4,105.99,1708.354124
16.6,115.61,1815.525658
16.8,127.34,1948.946715
17,139.99,2088.774491
17.2,136.59,1987.473707
17.4,159.78,2267.872791
17.6,168.36,2331.693192
17.8,190.33,2572.71308
18,194.01,2560.194392
18.2,214.82,2768.215674
18.4,256.06,3222.950096
18.6,278.07,3419.490814
18.8,304.2,3655.69051
19,322.7,3790.688939
19.2,347.41,3990.020892
19.4,387.64,4353.900148
19.6,442.99,4867.016855
19.8,463.4,4981.32311
20,517.01,5438.84638
20.2,559.16,5757.943071
20.4,588.7,5935.488862
20.6,630.72,6227.802386
20.8,681.86,6595.241485
21,739.85,7011.565314
21.2,800.57,7435.362466
21.4,853.55,7770.631258
21.6,913.1,8150.054577
21.8,956.2,8369.385174
22,1050.2,9015.811609
22.2,1089.4,9174.685447
22.4,1150.7,9508.623497
22.6,1220.7,9899.07797
22.8,1291.1,10276.66893
23,1330.3,10394.96765
23.2,1432.7,10992.14102
23.4,1468.8,11066.58657
23.6,1571.9,11632.38057
23.8,1612.7,11723.48798
24,1681.9,12012.35567
24.2,1768.3,12410.01325
24.4,1851.5,12769.98037
24.6,1894.4,12842.47688
24.8,1960.8,13067.12007
25,2021.3,13243.54547
25.2,2099.4,13525.31206
25.4,2182.3,13825.95115
25.6,2216.9,13813.67468
25.8,2284.7,14003.38313
26,2371.7,14300.99131
26.2,2414.3,14324.04828
26.4,2501.1,14603.02195
26.6,2546.3,14632.90779
26.8,2584.6,14621.74214
27,2651.9,14771.54404
27.2,2734.5,14999.97969
27.4,2736.3,14784.41317
27.6,2807.3,14943.17792
27.8,2901.7,15219.7977
28,2911.3,15049.99105
28.2,2988.4,15229.0809
28.4,3000,15074.28262
28.6,3094.3,15333.97873
28.8,3101,15158.94837
29,3139.3,15141.38587
29.2,3200.7,15234.23731
