E (keV),F (1/cm2)
1.25,0.0
1.75,0.0
2.25,0.0
2.75,0.0
3.25,0.0
3.75,0.0
4.25,2.276609864449235e-250
4.75,1.0724143896276101e-182
5.25,6.285917095874109e-137
5.75,7.36158128703194e-105
6.25,1.0846341905327459e-81
6.75,1.4739614143715095e-64
7.25,2.6200777315014115e-51
7.75,1.3390482330209176e-41
8.25,1.779011501787468e-32
8.75,2.0696520540178973e-27
9.25,1.4220706813297568e-111
9.75,1.9960524724097514e-95
10.25,2.9390982544078157e-84
10.75,8.872611400631333e-74
11.25,3.394726506372791e-64
11.75,7.30015034561228e-57
12.25,2.0775218898887394e-50
12.75,1.0347738888265797e-44
13.25,1.0162681077253767e-39
13.75,2.391242155371122e-35
14.25,1.6179353220429446e-31
14.75,3.8064647531801507e-28
15.25,3.686164580608679e-25
15.75,1.66483417447721e-22
16.25,3.803449979972958e-20
16.75,4.824716215370568e-18
17.25,3.677300704452284e-16
17.75,1.8221948127300917e-14
18.25,6.188402479346634e-13
18.75,1.4919934882942398e-11
19.25,2.684151670954669e-10
19.75,3.6914290170474922e-09
20.25,4.017759763466021e-08
20.75,3.5507576168583956e-07
21.25,2.596981565664046e-06
21.75,1.6039797854858746e-05
22.25,8.537912593701553e-05
22.75,0.00039754454136980283
23.25,0.0016368458785101533
23.75,0.006031896185693444
24.25,0.020108169215503062
24.75,0.06121274484094955
25.25,0.17190155636176077
25.75,0.4485232331685802
26.25,1.092620815600353
26.75,2.4998790367202877
27.25,5.4010518006435255
27.75,11.046247639800994
28.25,21.518670021044287
28.75,40.11875524422506
29.25,71.8373663052892
29.75,123.9365196804431
30.25,206.4780756427417
30.75,333.054914588056
31.25,521.7571638273639
31.75,795.5502983761962
32.25,1182.9936980244775
32.75,1718.5564029368213
33.25,2443.081873435919
33.75,3403.817696563571
34.25,4654.41912224141
34.75,6254.04710443792
35.25,8255.353520614814
35.75,10718.581382264738
36.25,13723.273347517128
36.75,17340.50209072805
37.25,21642.928755660163
37.75,26703.123609562626
38.25,32592.59635057507
38.75,39377.40638291066
39.25,47121.71432612134
39.75,55885.19356253548
40.25,65641.12764392758
40.75,76401.93213282662
41.25,88273.88762841585
41.75,101285.19194292286
42.25,115458.218130203
42.75,130797.62411935622
43.25,147306.7803614991
43.75,164984.87726409547
44.25,183823.21755247217
44.75,203790.61602153938
45.25,224627.6558875324
45.75,246257.19496282615
46.25,268871.4000412783
46.75,292406.3407076904
47.25,316819.09872252564
47.75,342058.102971357
48.25,368090.8042258608
48.75,394822.3212318133
49.25,422203.22935857624
49.75,450175.5738902648
50.25,478314.5676484407
50.75,506463.1626364353
51.25,534963.0343181259
51.75,563754.3585858275
52.25,592817.1635589072
52.75,622024.7417821318
53.25,651355.2346086651
53.75,680749.4438092931
54.25,710196.969181531
54.75,739564.6709026035
55.25,768366.5051094953
55.75,796534.0497252665
56.25,824545.3260780682
56.75,852264.2610933197
57.25,879708.3162485341
57.75,7754717.953336083
58.25,933673.2198244849
58.75,960074.2107538237
59.25,14614616.038095519
59.75,1011654.8136296299
60.25,1036179.4356944436
60.75,1059540.592663853
61.25,1082411.1162927719
61.75,1104776.8402994063
62.25,1126649.5858232183
62.75,1147936.7554102244
63.25,1168690.1032187927
63.75,1188889.3273391516
64.25,1208556.8261953862
64.75,1227609.0551990836
65.25,1245774.8034535001
65.75,1263314.1199221176
66.25,1280303.7419805212
66.75,3798757.023752148
67.25,6276722.922270835
67.75,1456761.7494260222
68.25,1342380.5732026931
68.75,1356448.2032932236
69.25,3317684.4492900837
69.75,1372969.2118266795
70.25,1106610.6315709504
70.75,1118663.8629904578
71.25,1130349.9039371794
71.75,1141770.093953715
72.25,1152799.3437960949
72.75,1163495.855748413
73.25,1173830.103291769
73.75,1183746.2427479913
74.25,1193260.4564181091
74.75,1202358.5760086188
75.25,1211095.9753398683
75.75,1219441.9028900797
76.25,1227401.695717797
76.75,1234955.1753404161
77.25,1242136.4802197784
77.75,1248927.3153658123
78.25,1255352.21251603
78.75,1261401.7785590866
79.25,1267083.3462365023
79.75,1272405.696066277
80.25,1276876.2744053127
80.75,1280497.7340584137
81.25,1283802.2065174044
81.75,1286787.7648121363
82.25,1289486.344365203
82.75,1291873.262430174
83.25,1293971.7103073702
83.75,1295772.7393633274
84.25,1297311.180213522
84.75,1298568.2122325844
85.25,1299558.7921338675
85.75,1300277.3108460233
86.25,1300757.1337642882
86.75,1300983.9730737153
87.25,1300966.634539047
87.75,1300701.8734189838
88.25,1300216.9913193695
88.75,1299511.9318735702
89.25,1298581.4304923909
89.75,1297425.1142813186
90.25,1295721.147854948
90.75,1293476.8491126539
91.25,1291044.5359648855
91.75,1288435.9640741835
92.25,1285665.1767393323
92.75,1282737.1736027827
93.25,1279643.5085029053
93.75,1276384.1773337633
94.25,1272986.3272591985
94.75,1269446.033790012
95.25,1265764.1878344275
95.75,1261931.297772678
96.25,1257974.0997335468
96.75,1253898.4571089712
97.25,1249697.9368173487
97.75,1245360.8450394955
98.25,1240916.7597452367
98.75,1236368.933884468
99.25,1231715.9307674882
99.75,1226934.617600314
100.25,1221822.9398627009
100.75,1216405.174137168
101.25,1210912.3298824297
101.75,1205314.8249602716
102.25,1199649.1431595634
102.75,1193929.3868500183
103.25,1188139.4820052474
103.75,1182255.6457039341
104.25,1176319.0455065747
104.75,1170336.0982983217
105.25,1164297.029280503
105.75,1158177.89544283
106.25,1152017.369255797
106.75,1145818.0961885906
107.25,1139576.9453919746
107.75,1133258.0009462438
108.25,1126910.9197077325
108.75,1120535.6641684882
109.25,1114120.4190309083
109.75,1107645.2985873288
110.25,1100964.4804046324
110.75,1094100.0889303423
111.25,1087212.9458147783
111.75,1080273.8509354838
112.25,1073332.2660316387
112.75,1066388.720021247
113.25,1059423.2240924041
113.75,1052414.8283896397
114.25,1045407.8427462801
114.75,1038403.4756376212
115.25,1031379.0834754779
115.75,1024319.1541699731
116.25,1017265.3867409675
116.75,1010219.3611794357
117.25,1003160.9472764843
117.75,996048.0625232705
118.25,988946.4808093383
118.75,981859.162510335
119.25,974763.837378134
119.75,967640.3058793476
120.25,960534.7861937252
120.75,953447.7131768313
121.25,946353.2625647169
121.75,939234.9849063864
122.25,932139.160658978
122.75,925063.578115237
123.25,917979.6913704338
123.75,910881.8396510629
124.25,903805.5232120106
124.75,896745.6359815698
125.25,889573.2050185562
125.75,882272.5955443282
126.25,875005.4233653421
126.75,867768.2257410222
127.25,860532.84474252
127.75,853294.5547523965
128.25,846094.465124765
128.75,838918.7759750942
129.25,831755.7968914667
129.75,824589.5262723648
130.25,817461.7089611426
130.75,810360.5695496728
131.25,803267.4680278313
131.75,796169.1153738063
132.25,789110.8205581194
132.75,782075.5278629824
133.25,775053.975902743
133.75,768029.0274466262
134.25,761044.7492836604
134.75,754085.6981593679
