Energy (keV),Fluence (1/cm2)
1.25,0.0
1.75,0.0
2.25,0.0
2.75,0.0
3.25,1.6441567159039814e-291
3.75,3.600347378513898e-195
4.25,4.626587430872696e-136
4.75,5.962368608306075e-98
5.25,2.914405086053345e-72
5.75,2.4882897717018507e-54
6.25,1.9897211040004086e-41
6.75,6.244732777973969e-32
7.25,1.4511492824533567e-24
7.75,2.6699730376443766e-19
8.25,6.665562311745451e-14
8.75,1.322916370924632e-11
9.25,5.787742419219871e-09
9.75,9.25278146427122e-06
10.25,4.753520169438185e-05
10.75,0.001045087375655666
11.25,0.040474011705336974
11.75,0.20927013992656715
12.25,1.159625612412116
12.75,6.08559402355214
13.25,26.723023817439206
13.75,95.37799601984803
14.25,286.0840025194825
14.75,741.7375161236191
15.25,1698.8276380683606
15.75,3503.102239124145
16.25,6616.020444321115
16.75,11580.995487375349
17.25,18998.817101231292
17.75,29385.256683594787
18.25,43196.986514678545
18.75,60902.74552264366
19.25,82778.37068784743
19.75,108944.26357162565
20.25,139066.29787682137
20.75,172825.48759800603
21.25,210161.75371838766
21.75,250660.97696036176
22.25,293224.7794343145
22.75,337180.75781652733
23.25,382556.1137366619
23.75,428825.69197063026
24.25,475477.4606874525
24.75,522018.6330053148
25.25,567222.9555888701
25.75,610645.0350585727
26.25,652707.0483672894
26.75,693140.0593390131
27.25,731685.1747102733
27.75,766346.1901623629
28.25,798141.7664888871
28.75,827642.5787359077
29.25,854763.5564569279
29.75,879521.959578423
30.25,900649.2367812814
30.75,918251.5372363024
31.25,933635.7163176117
31.75,946837.7479864662
32.25,957895.1527021928
32.75,966917.9431011773
33.25,973960.8103585545
33.75,979099.396361866
34.25,982399.160984759
34.75,983941.2638705377
35.25,982537.3569109542
35.75,978466.531251486
36.25,973100.7270166284
36.75,966511.4865531962
37.25,958748.5529551776
37.75,949879.5298186954
38.25,939972.6617156775
38.75,929119.3319673252
39.25,917370.9176495309
39.75,904766.6894073448
40.25,890616.2030472145
40.75,875063.2291331786
41.25,858906.7828445942
41.75,842219.6321385268
42.25,825084.2491103895
42.75,807477.9406940453
43.25,789444.9163638314
43.75,770996.2475361048
44.25,752145.299149236
44.75,732936.0539904604
45.25,712992.9038287206
45.75,692379.8872198042
46.25,671531.6821191104
46.75,650447.3275667944
47.25,629124.651209641
47.75,607594.6060273022
48.25,585916.2761959123
48.75,564039.8261048781
49.25,541952.0507427584
49.75,519645.48551745916
50.25,496934.83658527053
50.75,473879.3700224706
51.25,450747.7947117938
51.75,427476.1775301483
52.25,404051.1062044532
52.75,380448.6509421768
53.25,356659.4546895638
53.75,332679.01240562537
54.25,308538.46075584466
54.75,284174.64943810325
55.25,259454.06946711332
55.75,234325.76259041217
56.25,208845.6480937674
56.75,183011.65811070328
57.25,156839.63304730962
57.75,130333.87540069566
58.25,103483.64680012327
58.75,76299.91666188135
59.25,48942.50172280912
59.75,18867.64471985446
