E (keV),F (1/cm2)
1.25,0.0
1.75,0.0
2.25,0.0
2.75,0.0
3.25,0.0
3.75,0.0
4.25,0.0
4.75,0.0
5.25,0.0
5.75,0.0
6.25,0.0
6.75,0.0
7.25,0.0
7.75,0.0
8.25,0.0
8.75,0.0
9.25,0.0
9.75,1.370132923677685e-297
10.25,6.781134534591823e-262
10.75,5.322948633830205e-231
11.25,4.677794398370589e-204
11.75,7.769925936408161e-182
12.25,1.3031183967277873e-162
12.75,1.0850526045969026e-145
13.25,2.084021691362837e-264
13.75,1.2818098806668428e-239
14.25,2.296255450949783e-217
14.75,1.2612124522084565e-197
15.25,3.3172812103616523e-238
15.75,1.0689066509321655e-219
16.25,5.0562534283925567e-231
16.75,1.2017509494430209e-213
17.25,6.164790386328986e-198
17.75,1.1109652363472334e-183
18.25,1.0356576367714157e-170
18.75,6.084474077103039e-159
19.25,3.10153269117481e-148
19.75,1.8072399078419323e-138
20.25,1.6657373198842216e-129
20.75,2.933628665423609e-121
21.25,1.0816953489044968e-113
21.75,9.810194897566311e-107
22.25,2.625947067384882e-100
22.75,2.3304841785967148e-94
23.25,7.333456103120441e-89
23.75,9.02722398098533e-84
24.25,4.7427050787382937e-79
24.75,1.1491232996536257e-74
25.25,1.4337013831832755e-70
25.75,9.724588919972657e-67
26.25,3.6313774582850194e-63
26.75,7.85262460472969e-60
27.25,1.0290447043403674e-56
27.75,8.493520700035375e-54
28.25,4.589511559178551e-51
28.75,1.6802121128705244e-48
29.25,9.777973243345262e-69
29.75,1.0658171293906627e-65
30.25,1.0571187648894513e-62
30.75,7.78598319366747e-60
31.25,3.942916718712685e-57
31.75,1.4100394484579657e-54
32.25,3.648897837707936e-52
32.75,6.987709699852753e-50
33.25,1.0107201767766941e-47
33.75,1.1252218781589727e-45
34.25,9.81022480349735e-44
34.75,6.805782483491877e-42
35.25,3.8669592171739595e-40
35.75,1.820645313377322e-38
36.25,7.088662804520347e-37
36.75,2.3093867935318555e-35
37.25,6.36440830001213e-34
37.75,1.4987961809422244e-32
38.25,3.0443353002008346e-31
38.75,5.3802020756410725e-30
39.25,8.339954772085594e-29
39.75,1.142508283269205e-27
40.25,1.4003987025845e-26
40.75,1.5448477902380279e-25
41.25,1.534702000896948e-24
41.75,1.380877128261895e-23
42.25,1.1313934043777786e-22
42.75,8.48377519869507e-22
43.25,5.8491658858742325e-21
43.75,3.724259604008684e-20
44.25,2.1989519392534725e-19
44.75,1.2086505012524117e-18
45.25,6.2133519374907466e-18
45.75,2.9970064550856655e-17
46.25,1.359339117963833e-16
46.75,5.815106761123846e-16
47.25,2.3529562928894273e-15
47.75,9.029909859575977e-15
48.25,3.294724023310381e-14
48.75,1.1456719023535982e-13
49.25,3.8052811484225547e-13
49.75,1.2098028799438327e-12
50.25,3.689165415491687e-12
50.75,1.0809375514646552e-11
51.25,3.048791186925359e-11
51.75,8.291735324191519e-11
52.25,2.1779671891777154e-10
52.75,5.533857505019277e-10
53.25,1.3619511796559414e-09
53.75,3.2512231340554163e-09
54.25,7.537987415607868e-09
54.75,1.6994911815081735e-08
55.25,3.7297830201154906e-08
55.75,7.97630503082934e-08
56.25,1.6642020914515643e-07
56.75,3.391170651583395e-07
57.25,6.755154649644877e-07
57.75,1.3236649725865027e-05
58.25,2.51316806007186e-06
58.75,4.701356755306002e-06
59.25,0.0001511280431393327
59.75,1.5537282808793796e-05
60.25,2.7467011752271824e-05
60.75,4.769041125009726e-05
61.25,8.14492563784483e-05
61.75,0.00013691695207451629
62.25,0.0002266693648649391
62.75,0.00036978932441055255
63.25,0.0005947593222889391
63.75,0.0009435925392558246
64.25,0.001477428685431343
64.75,0.0022840403025970062
65.25,0.003487178956437277
65.75,0.005261105120401264
66.25,0.007847248110876157
66.75,0.037911765497200677
67.25,0.09216038844555807
67.75,0.02720229484404373
68.25,0.034916256488774985
68.75,0.049465524000027586
69.25,0.18527161280477059
69.75,0.09151930247113055
70.25,0.09682617172659669
70.75,0.13280536150161878
71.25,0.18068460165028238
71.75,0.24393710972672045
72.25,0.3268325436184869
72.75,0.43472556642736027
73.25,0.5741053718979517
73.75,0.752917446604093
74.25,0.9807877149688811
74.75,1.2693079086974577
75.25,1.632416096131554
75.75,2.0864907101912786
76.25,2.651002828810495
76.75,3.348827948803061
77.25,4.206652549974438
77.75,5.255551397387657
78.25,6.5311593493514035
78.75,8.074802789084808
79.25,9.933712822737848
79.75,12.161457593935754
80.25,14.850972049471974
80.75,18.08866024129411
81.25,21.931049624156284
81.75,26.470998306050376
82.25,31.81196134500724
82.75,38.06972528354211
83.25,45.371007102654964
83.75,53.85720061201268
84.25,63.6826627758699
84.75,75.01677944762056
85.25,88.04418310421916
85.75,102.9644295650839
86.25,119.99548613104625
86.75,139.37053442668923
87.25,161.34106066069828
87.75,186.1768095922585
88.25,9.62204901853671e-07
88.75,1.3956872916925193e-06
89.25,2.040290512174934e-06
89.75,2.9401850696736777e-06
90.25,4.234733271237438e-06
90.75,6.095153628919476e-06
91.25,8.711147760860525e-06
91.75,1.2364395755168937e-05
92.25,1.7431962816860998e-05
92.75,2.441595726898337e-05
93.25,3.397988036048247e-05
93.75,4.69952186561153e-05
94.25,6.460006672883482e-05
94.75,8.827137560050003e-05
95.25,0.00011991766075335223
95.75,0.00016198660966812808
96.25,0.00021760222824897138
96.75,0.00029073032480941456
97.25,0.0003863752738749225
97.75,0.0005108376406033443
98.25,0.000671992389096468
98.75,0.0008796197442292093
99.25,0.0011458396378460482
99.75,0.0014855727331717697
100.25,0.0019201750219672857
100.75,0.002474451957651694
101.25,0.003174352003811639
101.75,0.0040542766863616245
102.25,0.005155745571494484
102.75,0.0065289105995749944
103.25,0.008233782365347834
103.75,0.010341962361611574
104.25,0.01293862476914329
104.75,0.016124566673247045
105.25,0.020019257385144092
105.75,0.02476290497383389
106.25,0.03051964782760607
106.75,0.037481177850471975
107.25,0.045870398557212005
107.75,0.0559470277268939
108.25,0.06801063550239413
108.75,0.08240578569430618
109.25,0.09952903379970612
109.75,0.11983274993410964
110.25,0.14384374086807625
110.75,0.17215741003450666
111.25,0.20543698959421156
111.75,0.24444261951791482
112.25,0.2900276170742603
112.75,0.34316403171412785
113.25,0.4049366016213156
113.75,0.47655207987183235
114.25,0.5593703136484358
114.75,0.6548900957808492
115.25,0.7648013230769719
115.75,0.8909671421508942
116.25,1.0354361895789694
116.75,1.2004803815791587
117.25,1.3885747629426932
117.75,1.602457382773583
118.25,1.8451562707158575
118.75,2.119949784256574
119.25,2.430433207965983
119.75,2.78044423590564
120.25,3.1743030772552188
120.75,3.616609965090473
121.25,4.112305963565446
121.75,4.666790000247946
122.25,5.28574394862053
122.75,5.975552395153963
123.25,6.742889774796979
123.75,7.594898157212886
124.25,8.539301683557444
124.75,9.584083299426185
125.25,10.734732322772677
